temperature_logs.experiment_id,temperature_logs.elapsed_time,lid_temp,heat_block_zone_1_temp,heat_block_zone_2_temp
56,1491033,110.01,59.86,59.87
56,1492032,110.01,59.87,59.88
56,1493032,110.0,59.87,59.88
56,1494032,110.01,59.87,59.88
56,1495032,110.0,59.87,59.88
56,1496032,110.0,59.88,59.89
56,1497032,110.0,59.88,59.89
56,1498032,110.0,59.88,59.89
56,1499032,110.0,59.89,59.89
56,1500032,110.01,59.89,59.9
56,1501032,110.0,59.89,59.9
56,1502032,110.01,59.9,59.9
56,1503032,110.32,59.9,59.9
56,1504032,110.0,59.9,59.91
56,1505032,110.0,59.9,59.91
56,1506032,110.0,59.9,59.91
56,1507032,109.99,59.9,59.91
56,1508032,110.0,59.9,59.91
56,1509032,110.0,59.91,59.91
56,1510032,110.0,59.91,59.92
56,1511032,110.0,59.92,59.92
56,1512032,110.0,59.91,59.92
56,1513032,110.0,59.91,59.92
56,1514032,110.0,59.92,59.92
56,1515032,110.0,59.92,59.93
56,1516033,110.0,59.93,59.93
56,1517032,110.0,59.92,59.93
56,1518032,110.0,59.93,59.93
56,1519032,110.0,59.93,59.93
56,1520032,110.0,59.93,59.93
56,1521032,110.0,59.93,59.94
56,1522032,110.0,59.93,59.94
56,1523032,110.0,59.93,59.94
56,1524032,110.0,59.93,59.94
56,1525033,110.0,59.93,59.94
56,1526032,110.0,59.94,59.94
56,1527032,110.0,59.94,59.95
56,1528037,110.0,59.94,59.95
56,1529032,110.0,59.94,59.94
56,1530032,110.0,59.94,59.95
56,1531032,110.0,59.95,59.95
56,1532032,110.01,59.94,59.95
56,1533032,110.0,60.03,60.02
56,1534032,110.0,65.01,64.99
56,1535032,109.99,70.53,70.39
56,1536032,109.96,76.11,76.12
56,1537032,109.99,81.71,81.7
56,1538032,109.99,87.28,87.27
56,1539032,109.99,92.91,92.83
56,1540032,109.99,94.78,94.96
56,1541032,109.99,94.79,94.75
56,1542032,110.0,94.82,94.85
56,1543032,110.0,94.86,94.89
56,1544032,110.0,94.89,94.91
56,1545032,110.0,94.91,94.92
56,1546032,110.2,94.93,94.94
56,1547033,110.0,94.94,94.95
56,1548032,110.0,94.95,94.96
56,1549032,110.0,94.96,94.97
56,1550032,110.0,94.97,94.98
56,1551032,110.0,94.97,94.99
56,1552032,110.0,94.98,94.99
56,1553032,110.01,94.99,94.99
56,1554032,110.01,94.99,95.0
